Season,TEAM,Playoffs,W,L,NOG,WR,PTS,oppPTS,ALL A,ALL G,ALL S,X2 A,X2 G,X2 S,X3 A,X3 G,X3 S,FT A,FT G,FT S,Rebounds,ORB,DRB,AST,STL,BLK,TOV,FOUL
2018,Kansas City Kings,0,27,55,82,0.33 ,98.8,105.8,0.45 ,38.8,86.1,0.48 ,29.8,62.1,0.38 ,9,24,0.74 ,12.3,16.7,40.9,9.5,31.4,21.6,7.9,4.1,13.2,20
2018,Los Angeles Clippers,0,42,40,82,0.51 ,109,109,0.47 ,40.3,85.4,0.53 ,30.8,58.6,0.35 ,9.5,26.8,0.74 ,19,25.5,43.9,10.1,33.8,22.3,7.7,4.5,14.1,20
2018,Los Angeles Lakers,0,35,47,82,0.43 ,108.1,109.6,0.46 ,40.7,88.4,0.52 ,30.7,59.3,0.35 ,10,29.1,0.71 ,16.6,23.3,46.4,10.7,35.7,23.8,7.7,4.7,15.3,21.2
2018,Memphis Grizzlies,0,22,60,82,0.27 ,99.3,105.5,0.44 ,36.7,82.8,0.49 ,27.5,56.6,0.35 ,9.2,26.2,0.79 ,16.6,21.1,40.6,9.5,31,21.5,7.5,4.9,14.5,23.2
2018,Miami Heat,1,44,38,82,0.54 ,103.4,102.9,0.46 ,38.8,85.3,0.51 ,27.8,54.7,0.36 ,11,30.6,0.76 ,14.7,19.5,43.5,9.3,34.1,22.7,7.6,5.3,13.7,20.1
2018,Milwaukee Bucks,1,44,38,82,0.54 ,106.5,106.8,0.48 ,39.7,83,0.53 ,30.9,58.3,0.36 ,8.8,24.7,0.78 ,18.3,23.4,39.9,8.4,31.5,23.2,8.7,5.4,13.2,21.4
2018,Minnesota Timberwolves,1,47,35,82,0.57 ,109.5,107.3,0.48 ,41,86.1,0.52 ,33,63.6,0.36 ,8,22.5,0.80 ,19.4,24.1,41.9,10.3,31.6,22.7,8.4,4.2,11.8,18.2
2018,New Jersey Nets,0,28,54,82,0.34 ,106.6,110.3,0.44 ,38.2,86.8,0.50 ,25.5,51.1,0.36 ,12.7,35.7,0.77 ,17.4,22.6,44.4,9.6,34.8,23.7,6.3,4.8,14.2,20.6
2018,New Orleans Pelicans,1,48,34,82,0.59 ,111.7,110.4,0.48 ,42.7,88.2,0.54 ,32.5,60,0.36 ,10.2,28.2,0.77 ,16.1,20.9,44.3,8.6,35.7,26.8,8,5.9,14.5,19.1
2018,New York Knicks,0,29,53,82,0.35 ,104.5,108,0.46 ,40.7,87.7,0.51 ,32.5,64.3,0.35 ,8.2,23.4,0.79 ,14.9,19,44,10.5,33.6,23.3,6.7,5.1,14.2,20.5
2018,Oklahoma City Thunder,1,48,34,82,0.59 ,107.8,104.4,0.45 ,39.9,88,0.51 ,29.2,57.6,0.35 ,10.7,30.4,0.72 ,17.3,24.2,45,12.5,32.5,21.3,9.1,5,13.5,20.2
2018,Orlando Magic,0,25,57,82,0.30 ,103.4,108.2,0.45 ,38.8,85.8,0.50 ,28.5,56.5,0.35 ,10.3,29.3,0.76 ,15.5,20.5,41.7,8.8,32.9,23.4,7.5,4.9,14,19.3
2018,Philadelphia 76ers,1,52,30,82,0.63 ,109.8,105.3,0.47 ,40.8,86.6,0.52 ,29.8,56.8,0.37 ,11,29.8,0.75 ,17.1,22.8,47.4,10.9,36.5,27.1,8.3,5.1,15.9,22.1
2018,Phoenix Suns,0,21,61,82,0.26 ,103.9,113.3,0.44 ,38.5,87.1,0.49 ,29.2,59.2,0.33 ,9.3,27.9,0.74 ,17.7,23.9,44.1,10.3,33.8,21.2,7,4.5,15.1,22
2018,Portland Trail Blazers,1,49,33,82,0.60 ,105.6,103,0.45 ,39.3,87,0.49 ,29,58.9,0.37 ,10.3,28.1,0.80 ,16.7,20.9,45.5,10.2,35.3,19.5,7,5.1,13,19.5
2018,San Antonio Spurs,1,47,35,82,0.57 ,102.7,99.8,0.46 ,39,85.3,0.50 ,30.5,61.2,0.35 ,8.5,24.1,0.77 ,16.1,20.9,44.2,10.3,33.9,22.8,7.7,5.6,12.7,17.2
2018,Toronto Raptors,1,59,23,82,0.72 ,111.7,103.9,0.47 ,41.3,87.4,0.54 ,29.5,54.4,0.36 ,11.8,33,0.79 ,17.3,21.8,44,9.8,34.2,24.3,7.6,6.1,12.8,21.8
2018,Utah Jazz,1,48,34,82,0.59 ,104.1,99.8,0.46 ,38.3,82.9,0.52 ,27.5,53.3,0.37 ,10.8,29.6,0.78 ,16.8,21.5,43.2,9,34.2,22.4,8.6,5.1,14.1,19.6
2018,Washington Wizards,1,43,39,82,0.52 ,106.6,106,0.47 ,39.9,85.5,0.51 ,30,59,0.38 ,9.9,26.5,0.77 ,16.8,21.8,43.1,10,33,25.2,7.9,4.2,14.1,21.3
2019,Atlanta Hawks,0,29,53,82,0.35 ,113.3,119.4,0.45 ,41.4,91.8,0.52 ,28.4,54.8,0.35 ,13,37,0.75 ,17.6,23.4,46.1,11.6,34.5,25.8,8.2,5.1,16.6,23.6
2019,Boston Celtics,1,49,33,82,0.60 ,112.4,108,0.47 ,42.1,90.5,0.53 ,29.5,56,0.37 ,12.6,34.5,0.80 ,15.6,19.5,44.6,9.8,34.7,26.3,8.6,5.3,12.4,20.4
2019,Charlotte Hornets,0,39,43,82,0.48 ,110.7,111.8,0.45 ,40.2,89.8,0.51 ,28.3,55.9,0.35 ,11.9,33.9,0.80 ,18.4,23.1,43.9,10,33.9,23.2,7.2,5,11.6,18.9
2019,Chicago Bulls,0,22,60,82,0.27 ,104.9,113.4,0.45 ,39.8,87.9,0.50 ,30.7,62,0.35 ,9.1,25.9,0.78 ,16.2,20.7,42.9,8.7,34.2,21.9,7.4,4.3,13.5,20.3
2019,Cleveland Cavaliers,0,19,63,82,0.23 ,104.5,114.1,0.44 ,38.9,87.6,0.49 ,28.6,58.5,0.36 ,10.3,29.1,0.79 ,16.4,20.7,42.7,10.7,32,20.7,6.5,2.4,12.7,20
2019,Dallas Mavericks,0,33,49,82,0.40 ,108.9,110.1,0.45 ,38.8,86.9,0.52 ,26.3,50.3,0.34 ,12.5,36.6,0.74 ,18.8,25.3,45.3,10.1,35.2,23.4,6.5,4.3,13.6,20.1
2019,Denver Nuggets,1,54,28,82,0.66 ,110.7,106.7,0.47 ,41.9,90,0.53 ,30.9,58.6,0.35 ,11,31.4,0.76 ,15.8,20.9,46.4,11.9,34.5,27.4,7.7,4.5,12.8,20
2019,Detroit Pistons,1,41,41,82,0.50 ,107,107.3,0.44 ,38.8,88.3,0.50 ,26.7,53.5,0.35 ,12.1,34.8,0.75 ,17.3,23.1,45,11.5,33.6,22.5,7,4,13,22.1
2019,Golden State Warriors,1,57,25,82,0.70 ,117.7,111.2,0.49 ,44,89.8,0.55 ,30.7,55.4,0.39 ,13.3,34.4,0.80 ,16.3,20.4,46.2,9.7,36.5,29.4,7.6,6.5,13.7,21.4
2019,Houston Rockets,1,53,29,82,0.65 ,113.9,109.1,0.45 ,39.2,87.4,0.55 ,23.1,42,0.36 ,16.1,45.4,0.79 ,19.3,24.4,42,10.2,31.8,21.2,8.6,4.9,12.6,22
2019,Indiana Pacers,1,48,34,82,0.59 ,108,104.7,0.48 ,41.3,87.1,0.52 ,31.8,61.7,0.37 ,9.5,25.4,0.75 ,15.8,21.1,43.1,9.3,33.7,26,8.7,5,13.3,19.4
2019,Kansas City Kings,0,39,43,82,0.48 ,114.2,115.3,0.46 ,43.2,93.1,0.50 ,31.9,63.2,0.38 ,11.3,29.9,0.73 ,16.5,22.7,45.4,11,34.4,25.4,8.3,4.4,12.9,21.4
2019,Los Angeles Clippers,1,48,34,82,0.59 ,115.1,114.3,0.47 ,41.3,87.5,0.51 ,31.3,61.7,0.39 ,10,25.8,0.79 ,22.6,28.5,45.5,9.7,35.8,24,6.8,4.7,13.8,23.3
2019,Los Angeles Lakers,0,37,45,82,0.45 ,111.8,113.5,0.47 ,42.6,90.5,0.54 ,32.3,59.5,0.33 ,10.3,31,0.70 ,16.3,23.3,46.6,10.2,36.4,25.6,7.5,5.4,15.2,20.7
2019,Memphis Grizzlies,0,33,49,82,0.40 ,103.5,106.1,0.45 ,38,84.5,0.51 ,28.1,55.6,0.34 ,9.9,28.9,0.77 ,17.7,23,41.8,8.8,33,23.9,8.3,5.5,13.2,22
2019,Miami Heat,0,39,43,82,0.48 ,105.7,105.9,0.45 ,39.6,88.1,0.51 ,28.3,55.7,0.35 ,11.3,32.4,0.70 ,15.1,21.7,46.4,11.3,35.1,24.3,7.6,5.5,14.1,20.9
2019,Milwaukee Bucks,1,60,22,82,0.73 ,118.1,109.3,0.48 ,43.4,91.1,0.57 ,29.9,52.9,0.35 ,13.5,38.2,0.77 ,17.9,23.2,49.8,9.3,40.5,26,7.5,5.9,13.3,19.6
2019,Minnesota Timberwolves,0,36,46,82,0.44 ,112.5,114,0.46 ,41.6,91.3,0.50 ,31.5,62.6,0.35 ,10.1,28.7,0.79 ,19.1,24.3,44.8,11.3,33.5,24.6,8.3,5,12.6,20.3
2019,New Jersey Nets,1,42,40,82,0.51 ,112.2,112.3,0.45 ,40.3,89.7,0.51 ,27.5,53.5,0.35 ,12.8,36.2,0.75 ,19,25.5,46.6,11,35.6,23.8,6.6,4.2,14.4,21.5
2019,New Orleans Pelicans,0,33,49,82,0.40 ,115.4,116.8,0.47 ,43.7,92.2,0.54 ,33.4,62.3,0.34 ,10.3,29.9,0.76 ,17.8,23.4,47.3,11.1,36.2,27,7.4,5.4,14.5,21.1
2019,New York Knicks,0,17,65,82,0.21 ,104.6,113.8,0.43 ,38.2,88.3,0.48 ,28.2,58.8,0.34 ,10,29.5,0.76 ,18.1,23.9,44.8,10.5,34.3,20.1,6.8,5.2,13.4,20.9
2019,Oklahoma City Thunder,1,49,33,82,0.60 ,114.5,111.1,0.45 ,42.6,94,0.51 ,31.2,61.4,0.35 ,11.4,32.6,0.71 ,17.8,25,48.1,12.6,35.5,23.4,9.4,5.2,13.7,22.4
